Razred EE otpada,2012,2013,2014,2015,2016,2017,2018,2019,2020,Ukupno kg
Automati,"285,061","137,208","81,873","75,857","42,316","43,381","33,190","61,522","35,599","796,006"
CRT monitori,"209,477","444,119","308,409","425,488","313,250","173,130","261,757","280,006","22,267","2,437,903"
EE alat,,"3,867","6,503","151,704","1,128,107","948,416","2,954,820","1,821,896","1,005,841","8,021,153"
Igra?ke i oprema za rekreciju i sport,,,148,838,"5,654",,94,,285,"7,019"
Instrumenti za pra?enje i nadzor,"60,907","119,824","42,748","47,628","495,769","664,002","190,752","2,400,915","1,743,365","5,765,907"
IT i telekomunikaciona orpema,"49,275","873,989","477,945","980,793","688,157","559,006","563,397","607,139","282,832","5,082,534"
Mali ku?ni aparati,,"237,535","160,124","326,075","191,218","127,493","103,376","102,198","35,227","1,283,245"
Medicinski pomo?ni uredjaji,,"5,689","9,082","3,323","9,235","24,777","10,816","14,478","20,774","98,174"
Oprema ?iroke potro?nje gaming,,"43,334","132,778","160,646","207,172","122,164","122,126","67,065","32,833","888,118"
Oprema za osvetljenje,"1,799","15,161","28,065","15,842","45,692","54,889","33,293","21,003","39,099","254,843"
Ostali monitori,,"10,035","9,406",,"14,186",,,,,"33,627"
Ostali TV aparati,,"11,226","12,013",,"10,063","18,014","47,686","53,300","19,717","172,017"
Rashladni uredjaji i klime,"1,948,256","3,274,566","2,809,642","3,342,182","3,317,149","2,898,207","3,716,861","3,944,317","960,958","26,212,138"
Tv aparati CRT,"243,540","1,896,746","1,902,118","2,795,511","3,515,647","2,264,582","3,580,863","3,122,612","848,038","20,169,656"
Uredjaji za grejanje,,"32,124","117,959","155,951","142,078","71,987","46,699","22,478","9,081","598,356"
Veliki ku?ni aparati,"293,679","3,157,165","3,114,043","4,245,684","3,848,930","2,947,414","3,508,171","1,580,862","291,455","22,987,401"
Ukupno u kg,"3,091,995","10,262,587","9,212,854","12,727,522","13,974,621","10,917,462","15,173,899","14,099,789","5,347,368","94,808,097"
